Country,Last,Previous,Reference,Unit
Argentina,47.3,55.9,Apr/25,%
Australia,2.4,2.4,Mar/25,%
Brazil,5.53,5.48,Apr/25,%
Canada,1.7,2.3,Apr/25,%
China,-0.1,-0.1,Apr/25,%
Euro Area,2.2,2.2,Apr/25,%
France,0.7,0.8,May/25,%
Germany,2.1,2.1,May/25,%
India,3.16,3.34,Apr/25,%
Indonesia,1.95,1.03,Apr/25,%
Italy,1.7,1.9,May/25,%
Japan,3.6,3.6,Apr/25,%
Mexico,3.93,3.8,Apr/25,%
Netherlands,4.1,3.7,Apr/25,%
Russia,10.2,10.3,Apr/25,%
Saudi Arabia,2.3,2.3,Apr/25,%
Singapore,0.9,0.9,Apr/25,%
South Africa,2.8,2.7,Apr/25,%
South Korea,2.1,2.1,Apr/25,%
Spain,1.9,2.2,May/25,%
Switzerland,0,0.3,Apr/25,%
Turkey,37.86,38.1,Apr/25,%
United Kingdom,3.5,2.6,Apr/25,%
United States,2.3,2.4,Apr/25,%
